celltype,Moran's I,P-value,num_cell,id,month
InN,0.02073779886815383,0.0,5511,HZ12M01_BF,12
SMC,0.007994159603109714,0.0,2929,HZ12M01_BF,12
Micro,0.00686584953981713,1.0102926432099754e-13,372,HZ12M01_BF,12
Peri,0.006710582962584429,1.0478820247076988e-130,771,HZ12M01_BF,12
ExN,0.005024875183151161,2.550719469513585e-265,1366,HZ12M01_BF,12
Astro,0.005004481755766783,8.13188226621809e-231,1434,HZ12M01_BF,12
Olig,0.0006704774400639677,0.00020761453450035148,437,HZ12M01_BF,12
OPC,-0.0012408400989986582,0.002645720267412175,237,HZ12M01_BF,12
Endo,-0.0013276662129706894,0.0002132622357977692,197,HZ12M01_BF,12
InN,0.002792495039001545,0.0,7943,HZ12M02_BF,12
Olig,0.0022978039224018547,3.6905188049166485e-39,1572,HZ12M02_BF,12
SMC,0.0008964961434114922,2.154415868323526e-104,2889,HZ12M02_BF,12
Astro,0.0008675024757316644,3.951291821014453e-70,3946,HZ12M02_BF,12
Peri,0.0008140550902369853,1.7533102907007632e-35,1914,HZ12M02_BF,12
ExN,0.0007504945463130421,1.3227386041065912e-37,2709,HZ12M02_BF,12
MSN,0.00040399157441032484,2.2907309873507978e-08,178,HZ12M02_BF,12
Endo,-0.0007200850564618532,0.0012181388760603704,491,HZ12M02_BF,12
InN,0.011575274268589805,0.0,5662,HZ12M03_BF,12
Micro,0.007656733399143181,1.6523420993242746e-76,788,HZ12M03_BF,12
Peri,0.00692979822224982,0.0,1091,HZ12M03_BF,12
ExN,0.005589664903433767,0.0,2716,HZ12M03_BF,12
Astro,0.005582471019726589,0.0,2603,HZ12M03_BF,12
SMC,0.005402358507954845,0.0,1326,HZ12M03_BF,12
Olig,0.004827703662203384,1.079644297007608e-89,1117,HZ12M03_BF,12
Endo,0.004091289628380488,7.906405289068927e-46,536,HZ12M03_BF,12
OPC,0.002244105012505219,2.135594155089961e-31,672,HZ12M03_BF,12
InN,0.010551707064727666,0.0,7444,HZ12M04_BF,12
Astro,0.008451307332406137,0.0,3776,HZ12M04_BF,12
ExN,0.0072175182553439726,0.0,2433,HZ12M04_BF,12
SMC,0.006186102355069123,0.0,1865,HZ12M04_BF,12
OPC,0.005508917851399107,1.046243884924731e-246,1176,HZ12M04_BF,12
Peri,0.005468904110642337,6.011159496596181e-275,1294,HZ12M04_BF,12
Endo,0.005111894329528664,1.6755479180095818e-69,600,HZ12M04_BF,12
Micro,0.0049230122896674845,8.993298112236987e-44,1038,HZ12M04_BF,12
MSN,0.002175273890788286,1.1861694629735268e-20,325,HZ12M04_BF,12
Olig,0.0019563522355119634,1.2549075111456018e-22,1177,HZ12M04_BF,12
InN,0.012674456910445534,0.0,6415,HZ12M05_BF,12
OPC,0.011535582104250743,3.8143080940755273e-118,374,HZ12M05_BF,12
SMC,0.009734577746230487,0.0,2478,HZ12M05_BF,12
Astro,0.00811196254638683,0.0,1870,HZ12M05_BF,12
ExN,0.008083036234986168,0.0,2279,HZ12M05_BF,12
Peri,0.007647918218254248,0.0,1023,HZ12M05_BF,12
Olig,0.005886162926633703,1.9288541709258945e-40,518,HZ12M05_BF,12
Endo,0.0016397927107353403,1.4643282450641072e-13,344,HZ12M05_BF,12
Micro,0.0005794481842216484,0.0008513746105592075,519,HZ12M05_BF,12
