,Moran's I,P-value,num_cell,sample_region,sample,region,month,slice_no,slice,celltype,structure
Peri,0.4095626058227726,7.572322137411733e-15,493.0,HZ12M01_Basal forebrain,HZ12M01,Basal forebrain,12M,1,ctx,Peri,Basal forebrain
InN,0.15812084771800303,8.157592071847835e-46,3295.0,HZ12M01_Basal forebrain,HZ12M01,Basal forebrain,12M,1,ctx,InN,Basal forebrain
SMC,0.13094077068874355,1.2111975466258153e-12,1760.0,HZ12M01_Basal forebrain,HZ12M01,Basal forebrain,12M,1,ctx,SMC,Basal forebrain
Micro,0.12873749987655886,0.0011907286360563782,421.0,HZ12M01_Basal forebrain,HZ12M01,Basal forebrain,12M,1,ctx,Micro,Basal forebrain
ExN,0.10793048146078661,0.0001410327807171964,1130.0,HZ12M01_Basal forebrain,HZ12M01,Basal forebrain,12M,1,ctx,ExN,Basal forebrain
Astro,0.10053039201153012,8.521208921146354e-06,1276.0,HZ12M01_Basal forebrain,HZ12M01,Basal forebrain,12M,1,ctx,Astro,Basal forebrain
Olig,0.07633242724872093,0.005277006004129529,549.0,HZ12M01_Basal forebrain,HZ12M01,Basal forebrain,12M,1,ctx,Olig,Basal forebrain
SMC,0.44740071596292075,2.4218773203710084e-37,1204.0,HZ12M01_Prefrontal cortex,HZ12M01,Prefrontal cortex,12M,1,ctx,SMC,Prefrontal cortex
Micro,0.21544877266128454,1.512150887553355e-57,2666.0,HZ12M01_Prefrontal cortex,HZ12M01,Prefrontal cortex,12M,1,ctx,Micro,Prefrontal cortex
Astro,0.17665839302404884,2.0529813095496193e-85,6061.0,HZ12M01_Prefrontal cortex,HZ12M01,Prefrontal cortex,12M,1,ctx,Astro,Prefrontal cortex
ExN,0.12492367334983603,1.337722241345352e-270,21788.0,HZ12M01_Prefrontal cortex,HZ12M01,Prefrontal cortex,12M,1,ctx,ExN,Prefrontal cortex
Olig,0.10353691113727843,4.0401626734869274e-08,1402.0,HZ12M01_Prefrontal cortex,HZ12M01,Prefrontal cortex,12M,1,ctx,Olig,Prefrontal cortex
Endo,0.10247903610981482,0.041775694485461326,842.0,HZ12M01_Prefrontal cortex,HZ12M01,Prefrontal cortex,12M,1,ctx,Endo,Prefrontal cortex
