,Moran's I,P-value,num_cell,sample_region,sample,region,month,slice_no,slice,celltype,structure
Peri,0.2606595809904072,6.979306376826471e-07,493.0,HZ12M01_Basal forebrain,HZ12M01,Basal forebrain,12M,1,ctx,Peri,Basal forebrain
InN,0.09418946619044496,2.360708951483918e-17,3295.0,HZ12M01_Basal forebrain,HZ12M01,Basal forebrain,12M,1,ctx,InN,Basal forebrain
ExN,0.07357464109636068,0.009198271372312584,1130.0,HZ12M01_Basal forebrain,HZ12M01,Basal forebrain,12M,1,ctx,ExN,Basal forebrain
Olig,0.06856865713784888,0.01198751314794898,549.0,HZ12M01_Basal forebrain,HZ12M01,Basal forebrain,12M,1,ctx,Olig,Basal forebrain
Astro,0.06673590418501243,0.0030095469351268484,1276.0,HZ12M01_Basal forebrain,HZ12M01,Basal forebrain,12M,1,ctx,Astro,Basal forebrain
SMC,0.0638865639866932,0.0004979780540568938,1760.0,HZ12M01_Basal forebrain,HZ12M01,Basal forebrain,12M,1,ctx,SMC,Basal forebrain
SMC,0.17387703373749194,6.449093203188691e-07,1204.0,HZ12M01_Prefrontal cortex,HZ12M01,Prefrontal cortex,12M,1,ctx,SMC,Prefrontal cortex
Micro,0.14533512979245228,3.631472004410346e-27,2666.0,HZ12M01_Prefrontal cortex,HZ12M01,Prefrontal cortex,12M,1,ctx,Micro,Prefrontal cortex
Astro,0.13548888860020916,4.998771480017928e-51,6061.0,HZ12M01_Prefrontal cortex,HZ12M01,Prefrontal cortex,12M,1,ctx,Astro,Prefrontal cortex
ExN,0.1080047965550104,7.961684126574218e-203,21788.0,HZ12M01_Prefrontal cortex,HZ12M01,Prefrontal cortex,12M,1,ctx,ExN,Prefrontal cortex
Olig,0.07599582628591761,5.3685785140109616e-05,1402.0,HZ12M01_Prefrontal cortex,HZ12M01,Prefrontal cortex,12M,1,ctx,Olig,Prefrontal cortex
InN,0.060412843879210525,0.0006860259768648525,2905.0,HZ12M01_Prefrontal cortex,HZ12M01,Prefrontal cortex,12M,1,ctx,InN,Prefrontal cortex
SMC,0.1285426011303453,8.172366032461443e-12,2936.0,HZ12M01_Striatum,HZ12M01,Striatum,12M,1,ctx,SMC,Striatum
Micro,0.09098830355951314,4.4614418605188173e-11,2907.0,HZ12M01_Striatum,HZ12M01,Striatum,12M,1,ctx,Micro,Striatum
Endo,0.06575978850917205,0.007965231590141428,2255.0,HZ12M01_Striatum,HZ12M01,Striatum,12M,1,ctx,Endo,Striatum
InN,0.06308590692117955,2.4644999861267335e-05,3879.0,HZ12M01_Striatum,HZ12M01,Striatum,12M,1,ctx,InN,Striatum
ExN,0.05273649472417052,1.2047489773831064e-09,7426.0,HZ12M01_Striatum,HZ12M01,Striatum,12M,1,ctx,ExN,Striatum
Astro,0.046779474448468424,1.9078622484706602e-10,8335.0,HZ12M01_Striatum,HZ12M01,Striatum,12M,1,ctx,Astro,Striatum
MSN,0.02567335225064401,0.001845661762578243,6872.0,HZ12M01_Striatum,HZ12M01,Striatum,12M,1,ctx,MSN,Striatum
Astro,0.13215332898415139,0.005874386254159604,324.0,HZ12M02_Entorhinal area,HZ12M02,Entorhinal area,12M,2,hippo,Astro,Entorhinal area
Micro,0.07733262220374457,0.0003628671617957857,1314.0,HZ12M02_Hippocampal formation,HZ12M02,Hippocampal formation,12M,2,hippo,Micro,Hippocampal formation
SMC,0.07160265253412894,0.013127715586372242,867.0,HZ12M02_Hippocampal formation,HZ12M02,Hippocampal formation,12M,2,hippo,SMC,Hippocampal formation
Astro,0.05649960115837727,1.7416777884032446e-07,3687.0,HZ12M02_Hippocampal formation,HZ12M02,Hippocampal formation,12M,2,hippo,Astro,Hippocampal formation
ExN,0.04212993858428176,3.488195995320776e-23,13003.0,HZ12M02_Hippocampal formation,HZ12M02,Hippocampal formation,12M,2,hippo,ExN,Hippocampal formation
OPC,0.24272609253273103,0.049343508516922936,176.0,HZ12M02_Retrosplenial area,HZ12M02,Retrosplenial area,12M,2,hippo,OPC,Retrosplenial area
SMC,0.21714696172515172,2.849056111031784e-06,461.0,HZ12M02_Retrosplenial area,HZ12M02,Retrosplenial area,12M,2,hippo,SMC,Retrosplenial area
Olig,0.10165412697341497,3.5856406016819803e-06,852.0,HZ12M02_Retrosplenial area,HZ12M02,Retrosplenial area,12M,2,hippo,Olig,Retrosplenial area
ExN,0.0905793498673515,6.075901527073618e-18,3607.0,HZ12M02_Retrosplenial area,HZ12M02,Retrosplenial area,12M,2,hippo,ExN,Retrosplenial area
Micro,0.07555432433558158,0.009909531597811787,606.0,HZ12M02_Retrosplenial area,HZ12M02,Retrosplenial area,12M,2,hippo,Micro,Retrosplenial area
InN,0.07014341568480569,0.0014155185238528846,1434.0,HZ12M02_Retrosplenial area,HZ12M02,Retrosplenial area,12M,2,hippo,InN,Retrosplenial area
Astro,0.056986802572260166,0.008425263745667416,1349.0,HZ12M02_Retrosplenial area,HZ12M02,Retrosplenial area,12M,2,hippo,Astro,Retrosplenial area
OPC,0.5303761238658753,1.0208499716685802e-07,182.0,HZ12M02_Striatum,HZ12M02,Striatum,12M,2,hippo,OPC,Striatum
Micro,0.5273910160001561,1.1807329784853476e-13,208.0,HZ12M02_Striatum,HZ12M02,Striatum,12M,2,hippo,Micro,Striatum
SMC,0.4257797060880238,1.432962893142935e-20,337.0,HZ12M02_Striatum,HZ12M02,Striatum,12M,2,hippo,SMC,Striatum
Astro,0.2805494281879901,5.4415399517264e-32,1086.0,HZ12M02_Striatum,HZ12M02,Striatum,12M,2,hippo,Astro,Striatum
Peri,0.23623772012585523,0.0017811879518283779,240.0,HZ12M02_Striatum,HZ12M02,Striatum,12M,2,hippo,Peri,Striatum
ExN,0.22571229881588947,0.00030382472077749326,306.0,HZ12M02_Striatum,HZ12M02,Striatum,12M,2,hippo,ExN,Striatum
InN,0.16352513499825802,0.0007821546418078601,318.0,HZ12M02_Striatum,HZ12M02,Striatum,12M,2,hippo,InN,Striatum
MSN,0.15145240603372495,0.0022814547213759607,373.0,HZ12M02_Striatum,HZ12M02,Striatum,12M,2,hippo,MSN,Striatum
Endo,0.140715363974395,0.0036889851776740184,356.0,HZ12M02_Striatum,HZ12M02,Striatum,12M,2,hippo,Endo,Striatum
MSN,0.21752427381452122,0.001850481963536768,621.0,HZ12M02_Thalamus,HZ12M02,Thalamus,12M,2,hippo,MSN,Thalamus
SMC,0.18896041519697004,4.784599307445081e-13,2032.0,HZ12M02_Thalamus,HZ12M02,Thalamus,12M,2,hippo,SMC,Thalamus
InN,0.17568246544921512,6.442638316567865e-62,5268.0,HZ12M02_Thalamus,HZ12M02,Thalamus,12M,2,hippo,InN,Thalamus
ExN,0.12116623130681253,2.0411737955782875e-71,9715.0,HZ12M02_Thalamus,HZ12M02,Thalamus,12M,2,hippo,ExN,Thalamus
Micro,0.10173908448161394,2.7747087344065146e-15,3481.0,HZ12M02_Thalamus,HZ12M02,Thalamus,12M,2,hippo,Micro,Thalamus
Peri,0.09623873076685731,0.001006236092905878,1818.0,HZ12M02_Thalamus,HZ12M02,Thalamus,12M,2,hippo,Peri,Thalamus
OPC,0.08765919992849512,0.014646786489380514,1283.0,HZ12M02_Thalamus,HZ12M02,Thalamus,12M,2,hippo,OPC,Thalamus
Astro,0.08724611861288524,1.3188788991758422e-38,9607.0,HZ12M02_Thalamus,HZ12M02,Thalamus,12M,2,hippo,Astro,Thalamus
Olig,0.025163266160120684,0.04312311359626641,3303.0,HZ12M02_Thalamus,HZ12M02,Thalamus,12M,2,hippo,Olig,Thalamus
Micro,0.07585471961013965,0.0027914500403105258,1076.0,HZ12M03_Basal forebrain,HZ12M03,Basal forebrain,12M,3,ctx,Micro,Basal forebrain
Olig,0.05012903182223573,8.15285563540956e-05,2339.0,HZ12M03_Basal forebrain,HZ12M03,Basal forebrain,12M,3,ctx,Olig,Basal forebrain
Astro,0.04317575432488477,0.0001646428645971925,3447.0,HZ12M03_Basal forebrain,HZ12M03,Basal forebrain,12M,3,ctx,Astro,Basal forebrain
SMC,0.32993680865099956,4.7760874665072254e-74,2888.0,HZ12M03_Prefrontal cortex,HZ12M03,Prefrontal cortex,12M,3,ctx,SMC,Prefrontal cortex
Astro,0.15355650132570903,1.1347756369617379e-73,7158.0,HZ12M03_Prefrontal cortex,HZ12M03,Prefrontal cortex,12M,3,ctx,Astro,Prefrontal cortex
Peri,0.14147769286817433,1.8655840516221758e-05,1122.0,HZ12M03_Prefrontal cortex,HZ12M03,Prefrontal cortex,12M,3,ctx,Peri,Prefrontal cortex
OPC,0.11358603314854053,0.021342421138542362,897.0,HZ12M03_Prefrontal cortex,HZ12M03,Prefrontal cortex,12M,3,ctx,OPC,Prefrontal cortex
ExN,0.11337869395868165,0.0,30170.0,HZ12M03_Prefrontal cortex,HZ12M03,Prefrontal cortex,12M,3,ctx,ExN,Prefrontal cortex
Endo,0.0963973372007983,0.010587699385625137,1100.0,HZ12M03_Prefrontal cortex,HZ12M03,Prefrontal cortex,12M,3,ctx,Endo,Prefrontal cortex
InN,0.090824856895336,2.720448903367417e-20,7022.0,HZ12M03_Prefrontal cortex,HZ12M03,Prefrontal cortex,12M,3,ctx,InN,Prefrontal cortex
Micro,0.0815594736802218,9.695467751501133e-18,4406.0,HZ12M03_Prefrontal cortex,HZ12M03,Prefrontal cortex,12M,3,ctx,Micro,Prefrontal cortex
Olig,0.05005398684353707,0.007390827369268874,1598.0,HZ12M03_Prefrontal cortex,HZ12M03,Prefrontal cortex,12M,3,ctx,Olig,Prefrontal cortex
SMC,0.13030371806565333,1.5980572982952043e-14,3732.0,HZ12M03_Striatum,HZ12M03,Striatum,12M,3,ctx,SMC,Striatum
Endo,0.09509428249941271,0.0005337093771786429,1985.0,HZ12M03_Striatum,HZ12M03,Striatum,12M,3,ctx,Endo,Striatum
Peri,0.08017553982716284,0.002280382019649809,2007.0,HZ12M03_Striatum,HZ12M03,Striatum,12M,3,ctx,Peri,Striatum
Micro,0.061164787620959386,1.0208567780435887e-07,3853.0,HZ12M03_Striatum,HZ12M03,Striatum,12M,3,ctx,Micro,Striatum
Astro,0.0594745924143524,6.819509524010892e-19,9714.0,HZ12M03_Striatum,HZ12M03,Striatum,12M,3,ctx,Astro,Striatum
InN,0.05307292362035436,5.258396688078394e-09,7380.0,HZ12M03_Striatum,HZ12M03,Striatum,12M,3,ctx,InN,Striatum
ExN,0.047292897916674466,3.020868606887101e-12,10488.0,HZ12M03_Striatum,HZ12M03,Striatum,12M,3,ctx,ExN,Striatum
Olig,0.02695761587304072,0.006982359592708468,4139.0,HZ12M03_Striatum,HZ12M03,Striatum,12M,3,ctx,Olig,Striatum
MSN,0.61320900471968,0.001621010294823432,54.0,HZ12M04_Entorhinal area,HZ12M04,Entorhinal area,12M,4,hippo,MSN,Entorhinal area
