,Moran's I,P-value,num_cell,sample_region,sample,region,month
Peri,0.4095626058227726,7.572322137411733e-15,493.0,HZ12M01_Basal forebrain,HZ12M01,Basal forebrain,12M
Endo,0.18027074882347063,0.07232214301937322,231.0,HZ12M01_Basal forebrain,HZ12M01,Basal forebrain,12M
InN,0.15812084771800303,8.157592071847835e-46,3295.0,HZ12M01_Basal forebrain,HZ12M01,Basal forebrain,12M
SMC,0.13094077068874355,1.2111975466258153e-12,1760.0,HZ12M01_Basal forebrain,HZ12M01,Basal forebrain,12M
Micro,0.12873749987655886,0.0011907286360563782,421.0,HZ12M01_Basal forebrain,HZ12M01,Basal forebrain,12M
OPC,0.11154213474412943,0.3339591178042256,200.0,HZ12M01_Basal forebrain,HZ12M01,Basal forebrain,12M
ExN,0.10793048146078661,0.0001410327807171964,1130.0,HZ12M01_Basal forebrain,HZ12M01,Basal forebrain,12M
Astro,0.10053039201153012,8.521208921146354e-06,1276.0,HZ12M01_Basal forebrain,HZ12M01,Basal forebrain,12M
Olig,0.07633242724872093,0.005277006004129529,549.0,HZ12M01_Basal forebrain,HZ12M01,Basal forebrain,12M
Olig,0.29389264285937855,0.17602269899491552,25.0,HZ12M01_Hippocampal formation,HZ12M01,Hippocampal formation,12M
Astro,0.1971473553828841,0.3510435985382009,20.0,HZ12M01_Hippocampal formation,HZ12M01,Hippocampal formation,12M
ExN,0.182699545926568,0.31779166863786545,47.0,HZ12M01_Hippocampal formation,HZ12M01,Hippocampal formation,12M
SMC,0.44740071596292075,2.4218773203710084e-37,1204.0,HZ12M01_Prefrontal cortex,HZ12M01,Prefrontal cortex,12M
Micro,0.21544877266128454,1.512150887553355e-57,2666.0,HZ12M01_Prefrontal cortex,HZ12M01,Prefrontal cortex,12M
Astro,0.17665839302404884,2.0529813095496193e-85,6061.0,HZ12M01_Prefrontal cortex,HZ12M01,Prefrontal cortex,12M
ExN,0.12492367334983603,1.337722241345352e-270,21788.0,HZ12M01_Prefrontal cortex,HZ12M01,Prefrontal cortex,12M
