,Moran's I,P-value,num_cell,sample_region,sample,region,month
Peri,0.2606595809904072,6.979306376826471e-07,493.0,HZ12M01_Basal forebrain,HZ12M01,Basal forebrain,12M
OPC,0.14084978282873262,0.226629415321965,200.0,HZ12M01_Basal forebrain,HZ12M01,Basal forebrain,12M
Endo,0.12471261043055455,0.20901459232011843,231.0,HZ12M01_Basal forebrain,HZ12M01,Basal forebrain,12M
InN,0.09418946619044496,2.360708951483918e-17,3295.0,HZ12M01_Basal forebrain,HZ12M01,Basal forebrain,12M
ExN,0.07357464109636068,0.009198271372312584,1130.0,HZ12M01_Basal forebrain,HZ12M01,Basal forebrain,12M
Olig,0.06856865713784888,0.01198751314794898,549.0,HZ12M01_Basal forebrain,HZ12M01,Basal forebrain,12M
Astro,0.06673590418501243,0.0030095469351268484,1276.0,HZ12M01_Basal forebrain,HZ12M01,Basal forebrain,12M
SMC,0.0638865639866932,0.0004979780540568938,1760.0,HZ12M01_Basal forebrain,HZ12M01,Basal forebrain,12M
Micro,0.057743776977057425,0.1372231641639083,421.0,HZ12M01_Basal forebrain,HZ12M01,Basal forebrain,12M
Astro,0.17908023280863997,0.38697726028585855,20.0,HZ12M01_Hippocampal formation,HZ12M01,Hippocampal formation,12M
Olig,0.1558312496465366,0.4258071859950261,25.0,HZ12M01_Hippocampal formation,HZ12M01,Hippocampal formation,12M
ExN,0.035122911860914666,0.7811190628816763,47.0,HZ12M01_Hippocampal formation,HZ12M01,Hippocampal formation,12M
SMC,0.17387703373749194,6.449093203188691e-07,1204.0,HZ12M01_Prefrontal cortex,HZ12M01,Prefrontal cortex,12M
Micro,0.14533512979245228,3.631472004410346e-27,2666.0,HZ12M01_Prefrontal cortex,HZ12M01,Prefrontal cortex,12M
Astro,0.13548888860020916,4.998771480017928e-51,6061.0,HZ12M01_Prefrontal cortex,HZ12M01,Prefrontal cortex,12M
ExN,0.1080047965550104,7.961684126574218e-203,21788.0,HZ12M01_Prefrontal cortex,HZ12M01,Prefrontal cortex,12M
Olig,0.07599582628591761,5.3685785140109616e-05,1402.0,HZ12M01_Prefrontal cortex,HZ12M01,Prefrontal cortex,12M
InN,0.060412843879210525,0.0006860259768648525,2905.0,HZ12M01_Prefrontal cortex,HZ12M01,Prefrontal cortex,12M
Peri,0.0417614873648142,0.4886558531529831,528.0,HZ12M01_Prefrontal cortex,HZ12M01,Prefrontal cortex,12M
OPC,0.026943795688386573,0.7141776920131437,513.0,HZ12M01_Prefrontal cortex,HZ12M01,Prefrontal cortex,12M
Endo,0.009954786083246507,0.8267796890056058,842.0,HZ12M01_Prefrontal cortex,HZ12M01,Prefrontal cortex,12M
SMC,0.1285426011303453,8.172366032461443e-12,2936.0,HZ12M01_Striatum,HZ12M01,Striatum,12M
Micro,0.09098830355951314,4.4614418605188173e-11,2907.0,HZ12M01_Striatum,HZ12M01,Striatum,12M
Endo,0.06575978850917205,0.007965231590141428,2255.0,HZ12M01_Striatum,HZ12M01,Striatum,12M
InN,0.06308590692117955,2.4644999861267335e-05,3879.0,HZ12M01_Striatum,HZ12M01,Striatum,12M
ExN,0.05273649472417052,1.2047489773831064e-09,7426.0,HZ12M01_Striatum,HZ12M01,Striatum,12M
Astro,0.046779474448468424,1.9078622484706602e-10,8335.0,HZ12M01_Striatum,HZ12M01,Striatum,12M
Peri,0.0403681446717369,0.1531151861466481,1827.0,HZ12M01_Striatum,HZ12M01,Striatum,12M
MSN,0.02567335225064401,0.001845661762578243,6872.0,HZ12M01_Striatum,HZ12M01,Striatum,12M
Olig,0.016823592954613338,0.09043028885159195,3807.0,HZ12M01_Striatum,HZ12M01,Striatum,12M
OPC,-0.03211237203205151,0.5341196061811292,915.0,HZ12M01_Striatum,HZ12M01,Striatum,12M
SMC,0.5337998143320404,0.24590322973931789,22.0,HZ12M02_Entorhinal area,HZ12M02,Entorhinal area,12M
Olig,0.22559677194247574,0.23026988534299475,24.0,HZ12M02_Entorhinal area,HZ12M02,Entorhinal area,12M
Astro,0.13215332898415139,0.005874386254159604,324.0,HZ12M02_Entorhinal area,HZ12M02,Entorhinal area,12M
ExN,0.03318540710284779,0.10210031248352124,1062.0,HZ12M02_Entorhinal area,HZ12M02,Entorhinal area,12M
InN,0.026761946284389087,0.7883475500913679,110.0,HZ12M02_Entorhinal area,HZ12M02,Entorhinal area,12M
Micro,0.020817577295627117,0.6768941233455487,186.0,HZ12M02_Entorhinal area,HZ12M02,Entorhinal area,12M
MSN,-0.15210285285980785,0.3747231555046996,73.0,HZ12M02_Entorhinal area,HZ12M02,Entorhinal area,12M
OPC,-0.21573398309177677,0.6156193376464847,42.0,HZ12M02_Entorhinal area,HZ12M02,Entorhinal area,12M
Peri,-0.3059127531083039,0.24771931816028048,41.0,HZ12M02_Entorhinal area,HZ12M02,Entorhinal area,12M
Endo,-1.0935597987866672,0.05931174474117814,22.0,HZ12M02_Entorhinal area,HZ12M02,Entorhinal area,12M
MSN,0.08720823108299866,0.31053342216969226,371.0,HZ12M02_Hippocampal formation,HZ12M02,Hippocampal formation,12M
Endo,0.08216657267601866,0.29267327751018823,379.0,HZ12M02_Hippocampal formation,HZ12M02,Hippocampal formation,12M
Micro,0.07733262220374457,0.0003628671617957857,1314.0,HZ12M02_Hippocampal formation,HZ12M02,Hippocampal formation,12M
SMC,0.07160265253412894,0.013127715586372242,867.0,HZ12M02_Hippocampal formation,HZ12M02,Hippocampal formation,12M
Peri,0.07053227266017867,0.1404035891852788,616.0,HZ12M02_Hippocampal formation,HZ12M02,Hippocampal formation,12M
Astro,0.05649960115837727,1.7416777884032446e-07,3687.0,HZ12M02_Hippocampal formation,HZ12M02,Hippocampal formation,12M
ExN,0.04212993858428176,3.488195995320776e-23,13003.0,HZ12M02_Hippocampal formation,HZ12M02,Hippocampal formation,12M
Olig,0.020043726252228306,0.3340172999459925,1057.0,HZ12M02_Hippocampal formation,HZ12M02,Hippocampal formation,12M
InN,0.012675423953168261,0.7156307363385482,828.0,HZ12M02_Hippocampal formation,HZ12M02,Hippocampal formation,12M
OPC,-0.06765567408047488,0.4841092717469603,305.0,HZ12M02_Hippocampal formation,HZ12M02,Hippocampal formation,12M
SMC,0.1521951445255822,0.007213116540672457,670.0,HZ12M02_Prefrontal cortex,HZ12M02,Prefrontal cortex,12M
ExN,0.11504684310394268,1.2427128510610234e-180,17047.0,HZ12M02_Prefrontal cortex,HZ12M02,Prefrontal cortex,12M
MSN,0.07586039156040929,0.11341007750703966,848.0,HZ12M02_Prefrontal cortex,HZ12M02,Prefrontal cortex,12M
Micro,0.07434639092348136,5.516892384737489e-07,2107.0,HZ12M02_Prefrontal cortex,HZ12M02,Prefrontal cortex,12M
Astro,0.07251034190095297,6.503511061058054e-08,3577.0,HZ12M02_Prefrontal cortex,HZ12M02,Prefrontal cortex,12M
InN,0.06697755097180659,9.20644692835288e-07,3982.0,HZ12M02_Prefrontal cortex,HZ12M02,Prefrontal cortex,12M
Endo,0.05975076569379821,0.33661536189614294,581.0,HZ12M02_Prefrontal cortex,HZ12M02,Prefrontal cortex,12M
Olig,0.03123661387386556,0.06949547683535814,1460.0,HZ12M02_Prefrontal cortex,HZ12M02,Prefrontal cortex,12M
OPC,0.022611937944676815,0.7441611458104744,493.0,HZ12M02_Prefrontal cortex,HZ12M02,Prefrontal cortex,12M
Peri,-0.011431448948579807,0.8416267063713262,764.0,HZ12M02_Prefrontal cortex,HZ12M02,Prefrontal cortex,12M
OPC,0.24272609253273103,0.049343508516922936,176.0,HZ12M02_Retrosplenial area,HZ12M02,Retrosplenial area,12M
SMC,0.21714696172515172,2.849056111031784e-06,461.0,HZ12M02_Retrosplenial area,HZ12M02,Retrosplenial area,12M
Olig,0.10165412697341497,3.5856406016819803e-06,852.0,HZ12M02_Retrosplenial area,HZ12M02,Retrosplenial area,12M
ExN,0.0905793498673515,6.075901527073618e-18,3607.0,HZ12M02_Retrosplenial area,HZ12M02,Retrosplenial area,12M
Micro,0.07555432433558158,0.009909531597811787,606.0,HZ12M02_Retrosplenial area,HZ12M02,Retrosplenial area,12M
InN,0.07014341568480569,0.0014155185238528846,1434.0,HZ12M02_Retrosplenial area,HZ12M02,Retrosplenial area,12M
Astro,0.056986802572260166,0.008425263745667416,1349.0,HZ12M02_Retrosplenial area,HZ12M02,Retrosplenial area,12M
Peri,0.03347078346757437,0.5914877438731679,348.0,HZ12M02_Retrosplenial area,HZ12M02,Retrosplenial area,12M
