,celltype,Moran's I,P-value,num_cell,month,sample,structure
0,InN,0.1210320112283481,8.814149498005878e-41,5599,2M,HZ2M01,BF
1,ExN,0.1107412669000569,5.326404475189362e-09,2384,2M,HZ2M01,BF
2,Olig,0.1070486816600495,2.993061740655584e-06,2004,2M,HZ2M01,BF
3,Astro,0.0780893718037882,0.0028052858798578,1306,2M,HZ2M01,BF
4,Peri,0.0676766213727147,0.0235113548904493,1445,2M,HZ2M01,BF
5,Astro,0.3105506190182088,4.2722613986633416e-21,693,2M,HZ2M01,PFC
6,ExN,0.3080161404242577,0.0,8819,2M,HZ2M01,PFC
7,Micro,0.2843293474784241,0.0032944139191447,191,2M,HZ2M01,PFC
8,Olig,0.247076915780469,2.3210182529544748e-11,533,2M,HZ2M01,PFC
9,Peri,0.2368098804909657,0.0210845186402225,149,2M,HZ2M01,PFC
10,InN,0.216136578331072,8.1390294283656e-10,1128,2M,HZ2M01,PFC
11,SMC,0.3820648423907635,0.0193690625674343,111,2M,HZ2M01,STR
12,InN,0.2703496739306674,3.51516080420289e-89,3515,2M,HZ2M01,STR
13,Astro,0.2599849811067102,1.496435747403296e-49,2839,2M,HZ2M01,STR
14,ExN,0.2167710890351558,2.0471079867825894e-42,4463,2M,HZ2M01,STR
15,Peri,0.1679840925445914,5.302759693094818e-06,1405,2M,HZ2M01,STR
16,Micro,0.1520438210388416,0.0001460199873339,796,2M,HZ2M01,STR
17,MSN,0.1376685768754377,2.311989176691551e-74,9411,2M,HZ2M01,STR
18,Endo,0.1187503964794065,0.0002515390985166,1823,2M,HZ2M01,STR
19,Olig,0.1070513287299464,2.0309441737633175e-20,6142,2M,HZ2M01,STR
20,Endo,0.5457829463531445,0.0001662963096732,261,2M,HZ2M02,BF
21,OPC,0.5166091689325985,3.82570506736e-09,520,2M,HZ2M02,BF
22,ExN,0.5125724150176779,4.079848830581848e-38,976,2M,HZ2M02,BF
23,InN,0.4769108734597372,0.0,4726,2M,HZ2M02,BF
24,Peri,0.4266670525274165,2.9110831619877743e-97,2636,2M,HZ2M02,BF
25,Astro,0.3742944723204301,3.280835782868768e-52,1628,2M,HZ2M02,BF
26,Olig,0.3140994735094192,9.17543222974938e-66,3192,2M,HZ2M02,BF
27,Micro,0.2704893644058704,0.0108902446997275,186,2M,HZ2M02,BF
28,OPC,1.8691109243689248,0.0046866696327681,22,2M,HZ2M02,ECT
29,InN,0.1900335395306391,0.0041601291317263,351,2M,HZ2M02,ECT
30,Astro,0.1196716778686893,0.0427494361602867,291,2M,HZ2M02,ECT
31,ExN,0.1130132810848506,7.940674025352303e-11,1493,2M,HZ2M02,ECT
32,ExN,0.0690304516395435,1.186869464972307e-25,9482,2M,HZ2M02,HPF
33,Astro,0.0544943376850518,0.0218025138086054,1700,2M,HZ2M02,HPF
34,Astro,0.2233379397756548,4.022783486090432e-09,646,2M,HZ2M02,RS
35,ExN,0.1805252668507874,1.3936503991559864e-45,3447,2M,HZ2M02,RS
36,InN,0.1090431281705681,3.941977601598749e-06,1537,2M,HZ2M02,RS
37,OPC,0.3295756265871065,0.0003001445668443,517,2M,HZ2M02,TH
38,InN,0.2846247241133841,6.5999270058656615e-106,4161,2M,HZ2M02,TH
39,Peri,0.274830613008533,8.498285665967152e-26,2106,2M,HZ2M02,TH
40,Endo,0.2333400719218192,0.0011964030437378,643,2M,HZ2M02,TH
41,ExN,0.1945202280075359,1.0966210212863795e-140,9891,2M,HZ2M02,TH
42,Astro,0.1411084447865161,3.9969228534981624e-13,2451,2M,HZ2M02,TH
43,Olig,0.1044699261022612,3.6739038142339815e-15,4672,2M,HZ2M02,TH
44,ExN,0.186863537436334,2.3949490421316002e-17,2188,2M,HZ2M03,BF
45,InN,0.1211867134439646,6.167729376920866e-20,3829,2M,HZ2M03,BF
46,Peri,0.1106058051734192,0.000340150128227,1645,2M,HZ2M03,BF
47,Olig,0.1005597530460989,3.148328272097469e-05,2141,2M,HZ2M03,BF
48,Peri,0.3649039284337909,0.0065100578950977,108,2M,HZ2M03,PFC
49,ExN,0.1730875238173529,7.606496715705735e-134,6610,2M,HZ2M03,PFC
50,Olig,0.1420513265111368,0.0001965094371639,444,2M,HZ2M03,PFC
51,Astro,0.1147941714919355,0.0004614622681011,629,2M,HZ2M03,PFC
52,InN,0.0774197276940665,0.0189438293155444,1032,2M,HZ2M03,PFC
53,Peri,0.1896281404682276,3.543144685522908e-07,1168,2M,HZ2M03,STR
54,InN,0.1791370751666448,3.3867196722447094e-42,3563,2M,HZ2M03,STR
55,Astro,0.1000206302445812,4.480535214848598e-08,2317,2M,HZ2M03,STR
56,Micro,0.0810170855419928,0.0466785921148242,607,2M,HZ2M03,STR
57,ExN,0.0803225208468904,6.87588388719171e-10,4995,2M,HZ2M03,STR
58,Olig,0.0689225211241123,9.256202376737151e-11,5812,2M,HZ2M03,STR
59,MSN,0.0511575099559018,1.2179936122568669e-11,8449,2M,HZ2M03,STR
60,SMC,0.8471594271574604,0.0017684796528202,58,2M,HZ2M04,BF
61,ExN,0.3195115685794537,5.169125238132427e-10,722,2M,HZ2M04,BF
62,Astro,0.2887900251002565,4.420152577567554e-32,1589,2M,HZ2M04,BF
63,Endo,0.2842797031301549,0.0036400362147601,459,2M,HZ2M04,BF
64,Micro,0.2528083779705692,0.0020710626923267,237,2M,HZ2M04,BF
65,InN,0.2507550203615241,1.379452976239145e-110,4878,2M,HZ2M04,BF
66,Peri,0.2343330924103477,2.058676899878576e-21,2030,2M,HZ2M04,BF
67,Olig,0.1112433984913794,1.0708279410063107e-09,2926,2M,HZ2M04,BF
68,ExN,0.0847054102022464,2.1328470944338115e-10,1767,2M,HZ2M04,ECT
69,Olig,0.2492459142453513,8.371158249391409e-08,884,2M,HZ2M04,HPF
70,InN,0.1943177736870827,7.459844634122957e-05,680,2M,HZ2M04,HPF
71,Peri,0.1831493877119268,3.019819961791942e-05,723,2M,HZ2M04,HPF
72,Endo,0.1321968960100436,0.0041484287800889,741,2M,HZ2M04,HPF
73,ExN,0.0997040609907351,1.982258806541749e-41,7711,2M,HZ2M04,HPF
74,Astro,0.0567689695544178,0.0003998144388228,3000,2M,HZ2M04,HPF
75,Olig,0.3583952054496022,1.0167456094622784e-08,386,2M,HZ2M04,RS
76,ExN,0.2502736096230435,8.767399414720614e-100,3628,2M,HZ2M04,RS
77,Astro,0.2135728248156548,3.267667563945747e-09,761,2M,HZ2M04,RS
78,Micro,0.2111331179002096,0.0109748158969659,194,2M,HZ2M04,RS
79,InN,0.186909517725663,4.904847912064176e-16,1558,2M,HZ2M04,RS
80,Peri,0.1845848356973542,1.5244839495629863e-09,1498,2M,HZ2M04,TH
81,ExN,0.1634529595705195,6.894847751338348e-128,10264,2M,HZ2M04,TH
82,Endo,0.162886978022185,0.0004513802002564,988,2M,HZ2M04,TH
83,Olig,0.1584858254112983,5.298385872177141e-31,4263,2M,HZ2M04,TH
84,Astro,0.148883837060417,5.6490745275948745e-11,1755,2M,HZ2M04,TH
85,InN,0.0954333021340415,5.68563680173519e-07,2128,2M,HZ2M04,TH
86,Olig,0.0651404613727861,0.044518693453959,1685,2M,HZ2M05,BF
87,InN,0.0354847776391906,0.0312531271191702,3346,2M,HZ2M05,BF
88,Olig,0.1275615839393943,0.0078186923449423,549,2M,HZ2M05,PFC
89,ExN,0.0348141930507116,1.071280228442231e-05,8004,2M,HZ2M05,PFC
90,InN,0.1780380312555733,2.2521637455274702e-23,3084,2M,HZ2M05,STR
91,Peri,0.1681993630276511,1.3698970126905478e-06,1639,2M,HZ2M05,STR
92,Astro,0.1249059999695356,1.4242366148892959e-11,2736,2M,HZ2M05,STR
93,Olig,0.0986962474118437,1.6770818810824938e-17,6816,2M,HZ2M05,STR
94,ExN,0.0801226887687451,2.6744269293758303e-05,3899,2M,HZ2M05,STR
95,MSN,0.0574136612220396,2.494133989878845e-09,7246,2M,HZ2M05,STR
96,Endo,0.585114076063651,0.0031076348947684,236,2M,HZ2M06,BF
97,Peri,0.2526832051659575,9.549723056844025e-18,1970,2M,HZ2M06,BF
98,ExN,0.2144770332229685,1.886092984149112e-05,1011,2M,HZ2M06,BF
99,Astro,0.185247800421598,4.961185594795893e-10,1410,2M,HZ2M06,BF
100,InN,0.1683088740148426,1.1255576391237755e-47,5732,2M,HZ2M06,BF
101,InN,0.1836966201829888,0.0045360040523802,326,2M,HZ2M06,ECT
102,ExN,0.1255211190501822,7.965347569776819e-17,1689,2M,HZ2M06,ECT
103,ExN,0.1059200437211632,2.1996437085695727e-27,5812,2M,HZ2M06,HPF
104,Olig,0.0975278984175015,0.0469865927211666,833,2M,HZ2M06,HPF
105,Astro,0.0349689910439414,0.047445987285785,2891,2M,HZ2M06,HPF
106,SMC,0.4018558917059981,0.0257344296988094,58,2M,HZ2M06,RS
107,Peri,0.2308659077358758,0.0305131349662326,228,2M,HZ2M06,RS
108,ExN,0.1370513312325537,5.5374564351999965e-22,3074,2M,HZ2M06,RS
109,InN,0.104796573286921,0.0001224293906449,1423,2M,HZ2M06,RS
110,Micro,0.2316758633511557,0.029701545793439,179,2M,HZ2M06,TH
111,InN,0.2253144080896157,3.642863950762068e-17,1780,2M,HZ2M06,TH
112,Astro,0.0974055649042913,9.644604503792115e-06,2098,2M,HZ2M06,TH
113,Olig,0.0941936644546828,1.0006736842932515e-08,3842,2M,HZ2M06,TH
114,ExN,0.088185254936006,5.85072784298094e-32,10214,2M,HZ2M06,TH
115,Peri,0.0797513177240942,0.0085634472895772,1644,2M,HZ2M06,TH
116,InN,0.0715529904238323,7.81417382617046e-11,4437,3M,HZ3M01,BF
117,ExN,0.0546579972592077,0.0253736681481437,1816,3M,HZ3M01,BF
118,Peri,0.2062401831716523,0.0025362472626471,488,3M,HZ3M01,PFC
119,ExN,0.1533274727047941,6.913314699643362e-88,7342,3M,HZ3M01,PFC
