,fine,Moran's I,P-value,num_cell,month,sample,structure,celltype
0,Astro-2,0.1573621426643933,0.0014959833281671,498,2M,HZ2M01,BF,Astro
1,InN-Erbb4,0.1298295372717081,0.021897213010319,418,2M,HZ2M01,BF,InN
2,InN-Calb2,0.1159231415101724,5.078902908956126e-33,4659,2M,HZ2M01,BF,InN
3,ExN-DEGLU-1,0.0985115502482642,1.3701728097166164e-05,1680,2M,HZ2M01,BF,ExN
4,Olig-2,0.0871668815330771,0.0094640408200774,1218,2M,HZ2M01,BF,Olig
5,Peri,0.0676766213727147,0.0235113548904493,1445,2M,HZ2M01,BF,Peri
6,Astro-3,0.6165928392630169,0.0010225404238863,90,2M,HZ2M01,PFC,Astro
7,Astro-6,0.5320167819950692,0.026765824660691,24,2M,HZ2M01,PFC,Astro
8,ExN-L6b,0.4576247237509044,0.0001745096392417,136,2M,HZ2M01,PFC,ExN
9,ExN-CA1,0.4414344337609611,0.0040791192930804,236,2M,HZ2M01,PFC,ExN
10,InN-Sncg,0.4066340632531665,0.0478577148717599,129,2M,HZ2M01,PFC,InN
11,Astro-4,0.3475147938096256,0.0001443839497124,187,2M,HZ2M01,PFC,Astro
12,Olig-3,0.2725502219245364,0.0001354064249823,220,2M,HZ2M01,PFC,Olig
13,InN-Sst,0.2537253414108281,0.0002748068413216,410,2M,HZ2M01,PFC,InN
14,Peri,0.2368098804909657,0.0210845186402225,149,2M,HZ2M01,PFC,Peri
15,Astro-2,0.1718428239608156,0.0006826316739347,352,2M,HZ2M01,PFC,Astro
16,ExN-L6-CT,0.098258669609478,1.1989197098456129e-05,1422,2M,HZ2M01,PFC,ExN
17,ExN-L5-ET,0.0769275615266715,0.0002792225480159,1690,2M,HZ2M01,PFC,ExN
18,ExN-L2/3-IT,0.0768963622522829,0.0018229106438458,1223,2M,HZ2M01,PFC,ExN
19,ExN-L5-IT,0.0536578318316351,0.0016127314806952,2444,2M,HZ2M01,PFC,ExN
20,Olig-6,0.3831746969823065,0.0023912765681125,245,2M,HZ2M01,STR,Olig
21,SMC,0.3820648423907635,0.0193690625674343,111,2M,HZ2M01,STR,SMC
22,ExN-DEGLU-1,0.3582637157932747,8.98649486312078e-08,523,2M,HZ2M01,STR,ExN
23,ExN-DG,0.3079412401411027,0.0039529379725872,498,2M,HZ2M01,STR,ExN
24,Astro-2,0.2981852110504698,1.903675608870632e-17,993,2M,HZ2M01,STR,Astro
25,Astro-3,0.2926594209743944,1.3695232699435777e-12,970,2M,HZ2M01,STR,Astro
26,Micro-1,0.2761929771549979,0.0342932808443411,182,2M,HZ2M01,STR,Micro
27,InN-Sst,0.2457285221102099,0.0005116438509587,290,2M,HZ2M01,STR,InN
28,InN-Olf,0.190198446721795,2.4921245177151884e-27,2394,2M,HZ2M01,STR,InN
29,ExN-L6b,0.1901664391587455,8.337591024288789e-18,2547,2M,HZ2M01,STR,ExN
30,Olig-3,0.1852852157348597,0.0076719313712154,574,2M,HZ2M01,STR,Olig
31,Peri,0.1679840925445914,5.302759693094818e-06,1405,2M,HZ2M01,STR,Peri
32,MSN,0.1376685768754377,2.311989176691551e-74,9411,2M,HZ2M01,STR,MSN
33,Endo,0.1187503964794065,0.0002515390985166,1823,2M,HZ2M01,STR,Endo
34,Olig-4,0.1042812385824945,1.335774179681562e-09,3689,2M,HZ2M01,STR,Olig
35,Olig-2,0.0970586502435359,0.0005434504162869,1293,2M,HZ2M01,STR,Olig
36,Olig-6,0.7062191254898689,0.0001895948740345,160,2M,HZ2M02,BF,Olig
37,Endo,0.5457829463531445,0.0001662963096732,261,2M,HZ2M02,BF,Endo
38,OPC-2,0.510499622365822,6.540954552247981e-09,518,2M,HZ2M02,BF,OPC
39,ExN-DEGLU-2,0.4928032568559527,3.4283198813895315e-19,647,2M,HZ2M02,BF,ExN
40,Olig-4,0.4845999022458946,1.1729361383536262e-14,588,2M,HZ2M02,BF,Olig
41,InN-Calb2,0.4680511313691025,0.0,4023,2M,HZ2M02,BF,InN
42,Peri,0.4266670525274165,2.9110831619877743e-97,2636,2M,HZ2M02,BF,Peri
43,Astro-4,0.4205477419159041,0.0010829351358177,230,2M,HZ2M02,BF,Astro
44,Astro-2,0.3709316509696641,1.8836807569171895e-10,484,2M,HZ2M02,BF,Astro
45,Olig-3,0.3672328604864104,1.2079430436349232e-11,751,2M,HZ2M02,BF,Olig
46,ExN-DEGLU-1,0.3521683149340809,8.340977900373903e-07,310,2M,HZ2M02,BF,ExN
47,Micro-3,0.3065847831540712,0.0186997498105114,129,2M,HZ2M02,BF,Micro
48,Astro-3,0.2902555120143035,0.0001963523154022,373,2M,HZ2M02,BF,Astro
49,InN-Pvalb,0.2452377849816434,7.577119598705943e-06,365,2M,HZ2M02,BF,InN
50,Olig-2,0.2134364048045573,1.2176198302215183e-10,1416,2M,HZ2M02,BF,Olig
51,InN-Sncg,1.5093479586658654,0.0001438212612455,42,2M,HZ2M02,ECT,InN
52,ExN-Olf,0.2048540146920976,0.0023408653176525,293,2M,HZ2M02,ECT,ExN
53,ExN-CA2,0.1516989234247835,1.7854468902460627e-05,1083,2M,HZ2M02,HPF,ExN
54,Astro-2,0.1360664109855181,0.0489720234044138,431,2M,HZ2M02,HPF,Astro
55,ExN-CA3,0.0838084832220016,9.577020150624594e-06,1714,2M,HZ2M02,HPF,ExN
56,ExN-CA1,0.0470786121868303,0.0019609920998111,2453,2M,HZ2M02,HPF,ExN
57,ExN-DG,0.0405975355278934,0.0001948666746749,3856,2M,HZ2M02,HPF,ExN
58,Olig-1,-1.2225922535779066,0.0265506572493372,14,2M,HZ2M02,HPF,Olig
59,ExN-DEGLU-2,0.8221073694707391,0.0093748248080284,42,2M,HZ2M02,RS,ExN
60,ExN-L5-IT,0.2027839882115466,3.284607397226441e-12,1168,2M,HZ2M02,RS,ExN
61,ExN-L5-ET,0.1729071309552549,0.0001829656869337,511,2M,HZ2M02,RS,ExN
62,Astro-4,0.162732475084506,0.0314705937126976,279,2M,HZ2M02,RS,Astro
63,ExN-L2/3-IT,0.154007674422589,0.0100244855287536,355,2M,HZ2M02,RS,ExN
64,InN-Pvalb,0.0826213480955547,0.0028419206825058,1098,2M,HZ2M02,RS,InN
65,Micro-3,-1.399387913967991,0.007064849719627,16,2M,HZ2M02,RS,Micro
66,InN-Erbb4,0.5438640686291212,4.090463457229934e-09,373,2M,HZ2M02,TH,InN
67,InN-Olf,0.4265152134217945,0.0298416369623785,232,2M,HZ2M02,TH,InN
68,InN-Sncg,0.4041547407324186,0.0004906275066528,201,2M,HZ2M02,TH,InN
69,OPC-2,0.3793164287575903,0.0003995930442906,456,2M,HZ2M02,TH,OPC
70,Astro-4,0.2873803431967037,0.0002972677195012,400,2M,HZ2M02,TH,Astro
71,Peri,0.274830613008533,8.498285665967152e-26,2106,2M,HZ2M02,TH,Peri
72,Olig-5,0.2539944847472891,0.004497907587305,193,2M,HZ2M02,TH,Olig
73,InN-Calb2,0.2383044638300759,4.842441299071229e-52,3013,2M,HZ2M02,TH,InN
74,Endo,0.2333400719218192,0.0011964030437378,643,2M,HZ2M02,TH,Endo
75,ExN-DG,0.1777826790086504,0.0143875315935066,174,2M,HZ2M02,TH,ExN
76,ExN-DEGLU-2,0.1235237943709868,1.4001627001829332e-08,2335,2M,HZ2M02,TH,ExN
77,Olig-3,0.093686017505481,0.0451295506284682,916,2M,HZ2M02,TH,Olig
78,Astro-2,0.0810103782138138,0.0239073423982518,946,2M,HZ2M02,TH,Astro
79,ExN-DEGLU-1,0.0747617479827081,3.2902207269424353e-16,6965,2M,HZ2M02,TH,ExN
80,Olig-2,0.0559804072735055,0.0158207198465577,1976,2M,HZ2M02,TH,Olig
81,ExN-DEGLU-1,0.1451574533097448,7.864566313751757e-08,1478,2M,HZ2M03,BF,ExN
82,Olig-2,0.1377453380048487,3.68806366881284e-05,1393,2M,HZ2M03,BF,Olig
83,InN-Calb2,0.1192745766326502,7.708721831554501e-18,3349,2M,HZ2M03,BF,InN
84,Peri,0.1106058051734192,0.000340150128227,1645,2M,HZ2M03,BF,Peri
85,ExN-CA3,0.4365656405814404,8.379181841613704e-06,349,2M,HZ2M03,PFC,ExN
86,Peri,0.3649039284337909,0.0065100578950977,108,2M,HZ2M03,PFC,Peri
87,Astro-2,0.1807755485748713,0.001518018383314,305,2M,HZ2M03,PFC,Astro
88,Olig-2,0.1520238782948932,0.017628327851837,185,2M,HZ2M03,PFC,Olig
89,ExN-L2/3-IT,0.1180811320135882,0.0002130227504515,739,2M,HZ2M03,PFC,ExN
90,ExN-L5-IT,0.0775642598940477,2.7612827915089856e-06,2154,2M,HZ2M03,PFC,ExN
91,ExN-L5-ET,0.0725238572999658,0.0041812865460841,1163,2M,HZ2M03,PFC,ExN
92,ExN-L6-CT,0.0723580537827035,0.0012802846217358,1226,2M,HZ2M03,PFC,ExN
93,Astro-3,-0.5737746277391603,0.0275345707471426,55,2M,HZ2M03,PFC,Astro
94,ExN-CA3,0.542512139456218,7.070899656020706e-06,220,2M,HZ2M03,STR,ExN
95,InN-Olf,0.221628621926004,6.277763243509957e-34,2173,2M,HZ2M03,STR,InN
96,Peri,0.1896281404682276,3.543144685522908e-07,1168,2M,HZ2M03,STR,Peri
97,Micro-3,0.1328939028328392,0.0106644929426748,438,2M,HZ2M03,STR,Micro
98,Astro-2,0.1194708123268132,0.0002275580947204,956,2M,HZ2M03,STR,Astro
99,Astro-3,0.0884159436924084,0.0392112587252135,832,2M,HZ2M03,STR,Astro
100,Olig-2,0.0722641656434366,0.0063655843885016,1247,2M,HZ2M03,STR,Olig
101,ExN-L6b,0.0609817311058994,0.0001993842115485,3327,2M,HZ2M03,STR,ExN
102,MSN,0.0511575099559018,1.2179936122568669e-11,8449,2M,HZ2M03,STR,MSN
103,Astro-4,1.146990296433816,2.2179728602381158e-06,123,2M,HZ2M04,BF,Astro
104,SMC,0.8471594271574604,0.0017684796528202,58,2M,HZ2M04,BF,SMC
105,Astro-3,0.4131965686130813,5.010628389857127e-06,287,2M,HZ2M04,BF,Astro
106,Astro-1,0.303539162286462,0.0019319604382174,371,2M,HZ2M04,BF,Astro
107,Astro-6,0.2971293273200722,3.539266460277442e-05,228,2M,HZ2M04,BF,Astro
108,Endo,0.2842797031301549,0.0036400362147601,459,2M,HZ2M04,BF,Endo
109,Astro-2,0.2529250509128448,7.863599060765211e-07,518,2M,HZ2M04,BF,Astro
110,ExN-DEGLU-1,0.2416317608333403,0.0008888203575179,212,2M,HZ2M04,BF,ExN
111,InN-Calb2,0.2371900422882217,1.3792903128837318e-88,4389,2M,HZ2M04,BF,InN
112,Micro-3,0.2355120391397873,0.0122889058378976,165,2M,HZ2M04,BF,Micro
113,Peri,0.2343330924103477,2.058676899878576e-21,2030,2M,HZ2M04,BF,Peri
114,ExN-DEGLU-2,0.173159040069006,0.0317750508041935,493,2M,HZ2M04,BF,ExN
115,Olig-2,0.0826172428680978,0.0018574591192535,1762,2M,HZ2M04,BF,Olig
116,InN-Olf,2.5874530568184317,0.0048008666691052,16,2M,HZ2M04,ECT,InN
117,Olig-3,1.8414511802619475,0.0426168613874145,16,2M,HZ2M04,ECT,Olig
118,ExN-L6b,0.1154529753433072,0.0016227270108558,508,2M,HZ2M04,ECT,ExN
119,Olig-2,2.0657091689813463,0.0347523487601249,68,2M,HZ2M04,HPF,Olig
120,ExN-L5-ET,1.3894643860694178,0.0425747188916941,54,2M,HZ2M04,HPF,ExN
121,Peri,0.1831493877119268,3.019819961791942e-05,723,2M,HZ2M04,HPF,Peri
122,Endo,0.1321968960100436,0.0041484287800889,741,2M,HZ2M04,HPF,Endo
123,Astro-2,0.1311016435194682,0.0358701128756277,558,2M,HZ2M04,HPF,Astro
124,ExN-CA3,0.1061572353113396,1.171232141335863e-07,1376,2M,HZ2M04,HPF,ExN
125,ExN-CA2,0.1044576653615783,0.0017370399659574,1126,2M,HZ2M04,HPF,ExN
126,ExN-DG,0.0705378487070851,2.571667200333934e-06,2228,2M,HZ2M04,HPF,ExN
127,ExN-CA1,0.0451403311867871,0.002663297317299,2496,2M,HZ2M04,HPF,ExN
128,Olig-6,0.8505441106767034,0.0262890476063488,44,2M,HZ2M04,RS,Olig
129,ExN-L6-IT,0.5453992005716837,0.0176423184698281,88,2M,HZ2M04,RS,ExN
130,Astro-4,0.3723333455813735,1.6570144991888747e-05,263,2M,HZ2M04,RS,Astro
131,Micro-1,0.2444632964337137,0.0395054690106646,140,2M,HZ2M04,RS,Micro
132,ExN-L5-ET,0.2143833740287244,1.1012299644665036e-05,453,2M,HZ2M04,RS,ExN
133,Olig-3,0.2134025732054699,0.0254864383123731,184,2M,HZ2M04,RS,Olig
134,ExN-L5-IT,0.1959607926257865,2.815677486780201e-14,1144,2M,HZ2M04,RS,ExN
135,InN-Erbb4,0.3966813870785575,0.0474824994785976,109,2M,HZ2M04,TH,InN
136,Astro-1,0.2362281625904392,0.0208621472475954,265,2M,HZ2M04,TH,Astro
137,Astro-3,0.2350320286502252,0.0005159238678567,460,2M,HZ2M04,TH,Astro
138,ExN-DEGLU-2,0.185096407766898,4.218714342431679e-23,2348,2M,HZ2M04,TH,ExN
139,Peri,0.1845848356973542,1.5244839495629863e-09,1498,2M,HZ2M04,TH,Peri
