Age_group/Region_name,PFC,RS,TH,HPF,ENT,STR,BF
HZ2M_1,0.008733474,0.020601486,0.027324924,0.007753925,0,0.011640485,0
HZ2M_2,0.011700198,0.01528559,0.024229779,0.013540902,0,0.016752571,0
HZ2M_3,0.007686688,0.029395495,0.00917712,0.013632643,0,0.012857278,0.01403102
HZ3M_1,0.054455402,0.074750279,0.218944686,0.017904321,0,0.035813237,0.076574592
HZ3M_2,0.011073648,0.058603906,0.090432364,0.025139764,0,0.035086457,0.030072817
HZ3M_3,0.022066095,0.09768711,0.090400396,0.038358319,0,0.026270327,0.009633239
HZ4M_4,0.739027814,0.376913277,0.236978922,0.330573931,0.028028612,0.305616322,0.114357085
HZ4M_5,NA,0.415889121,0.243873664,0.105891502,0.047876824,NA,NA
HZ4M_2,0.353137712,0.517357303,0.362030116,NA,0,0.202415563,0.162253507
HZ4M_3,0.34033894,NA,NA,NA,NA,NA,NA
HZ5M_1,NA,0.597419916,0.30451529,0.317947156,0,0.177134682,NA
HZ5M_2,0.463253436,0.574548407,0.661133541,0.311072642,0.215110786,0.287314077,0.234041366
HZ5M_3,0.813439587,0.864874241,0.497616354,0.240425191,0.15651875,0.210775221,0.161077555
HZ6M_4,0.752012052,0.740759531,0.634068473,0.4960929,0.515773013,0.304152958,0.262267746
HZ6M_5,NA,0.798348705,0.785958204,0.521027013,0.691752303,NA,NA
HZ6M_1,NA,0.639709142,0.671854126,0.404020431,0.299738703,NA,NA
HZ6M_2,0.809014704,0.78926164,0.748336064,0.583870527,0.660194925,0.381537423,0.333196018
HZ6M_3,0.882600462,0.831806383,0.678159977,0.48716798,0.465591071,0.401132838,0.314128764
HZ8M_1,1.000039303,1.008305817,0.961048372,0.653283814,1.023926246,NA,0.56455997
HZ8M_2,0.965666531,0.897495244,0.763810955,0.597512263,0.901617111,0.498289747,0.401057422
HZ8M_3,0.877972853,0.844843897,0.865485054,0.740801042,1.270827684,0.471424307,0.255186708
HZ12M_1,1.039825759,1.001054196,0.994153409,0.789235636,1.205200261,0.619596103,0.472558228
HZ12M_2,0.958912456,0.927986906,0.917037727,0.892201625,1.320478566,0.726951432,0.664922426
HZ12M_3,1.105004311,1.112534796,1.036673694,0.756913881,1.508888131,0.679369842,0.528128674
