fine,Moran's I,P-value,num_cell,sample,region_abb,fullid
ExN-DEGLU-1,0.007626764083031834,1.5572104862581024e-149,625,HZ12M01,BF,HZ12M01_coorect_BF
ExN-DEGLU-2,0.007013738987673548,8.634336897206437e-117,598,HZ12M01,BF,HZ12M01_coorect_BF
ExN-CA3,-0.01834759382346591,0.3157312018534214,45,HZ12M01,BF,HZ12M01_coorect_BF
ExN-CA2,-0.027936240521404032,0.43448292123398213,32,HZ12M01,BF,HZ12M01_coorect_BF
ExN-DG,-0.038090499448218,0.2937476945320716,23,HZ12M01,BF,HZ12M01_coorect_BF
ExN-L6b,-0.046012079014293265,0.8517467073562301,22,HZ12M01,BF,HZ12M01_coorect_BF
ExN-CA2,0.003958313610721647,2.4457115975557216e-177,1103,HZ12M01,PFC,HZ12M01_coorect_PFC
ExN-CA3,0.003480247162722303,0.0,1749,HZ12M01,PFC,HZ12M01_coorect_PFC
ExN-L6-IT,0.0029551968612013925,1.0016223626639205e-27,267,HZ12M01,PFC,HZ12M01_coorect_PFC
ExN-CA1,0.00010078411702799647,5.386325473682888e-07,402,HZ12M01,PFC,HZ12M01_coorect_PFC
ExN-DG,-7.677094253652073e-05,3.439618350455549e-07,346,HZ12M01,PFC,HZ12M01_coorect_PFC
ExN-L2/3-IT,-0.00045697183653031445,0.0004752824469283551,833,HZ12M01,PFC,HZ12M01_coorect_PFC
ExN-L5-ET,-0.0009180633910282012,0.025283352983825714,716,HZ12M01,PFC,HZ12M01_coorect_PFC
ExN-L5-IT,-0.0014580222700735664,0.1321003596033086,534,HZ12M01,PFC,HZ12M01_coorect_PFC
ExN-L6-CT,-0.0020538331232339306,0.24827155938763024,407,HZ12M01,PFC,HZ12M01_coorect_PFC
ExN-DEGLU-1,-0.0023822748321012774,0.0025763919384039786,175,HZ12M01,PFC,HZ12M01_coorect_PFC
ExN-Olf,-0.0036542114206462367,0.0022276535130582686,155,HZ12M01,PFC,HZ12M01_coorect_PFC
ExN-L5/6-NP,-0.003910734672425094,0.12723295754174554,188,HZ12M01,PFC,HZ12M01_coorect_PFC
ExN-L6b,-0.011462200902320682,0.30747999546822,107,HZ12M01,PFC,HZ12M01_coorect_PFC
ExN-L4/5-IT,-0.012148973421556524,0.7797621858368056,79,HZ12M01,PFC,HZ12M01_coorect_PFC
ExN-DEGLU-2,-0.04550090233591127,0.6452265449355761,25,HZ12M01,PFC,HZ12M01_coorect_PFC
ExN-CA2,0.0011651174736664303,5.399340193178174e-91,2318,HZ12M01,STR,HZ12M01_coorect_STR
ExN-DEGLU-1,8.093179945345155e-05,5.883209932370615e-08,807,HZ12M01,STR,HZ12M01_coorect_STR
ExN-DG,-0.0003627524120122559,0.0037755305393646576,1287,HZ12M01,STR,HZ12M01_coorect_STR
ExN-CA3,-0.0008755862555439444,0.0031397809282343917,522,HZ12M01,STR,HZ12M01_coorect_STR
ExN-CA1,-0.0012261626084101931,0.3587193809975827,675,HZ12M01,STR,HZ12M01_coorect_STR
ExN-L6b,-0.0015783554905256078,0.09298991065098558,420,HZ12M01,STR,HZ12M01_coorect_STR
ExN-Olf,-0.00403349611086446,0.7601321929530946,236,HZ12M01,STR,HZ12M01_coorect_STR
ExN-L6-IT,-0.006813920977685831,0.00022156777221604733,30,HZ12M01,STR,HZ12M01_coorect_STR
ExN-DEGLU-2,-0.008530799634560176,0.5699752730138905,135,HZ12M01,STR,HZ12M01_coorect_STR
ExN-L6-CT,-0.020353170554446163,0.9880584870393051,50,HZ12M01,STR,HZ12M01_coorect_STR
ExN-L2/3-IT,-0.034745522387256,0.6081312378412345,32,HZ12M01,STR,HZ12M01_coorect_STR
ExN-L5-IT,-0.06711994847862426,0.6584970373786243,15,HZ12M01,STR,HZ12M01_coorect_STR
ExN-L5/6-NP,-0.07685546749624551,0.9955628765680042,14,HZ12M01,STR,HZ12M01_coorect_STR
ExN-L5-ET,-0.08956325088012149,0.5071121881000362,13,HZ12M01,STR,HZ12M01_coorect_STR
ExN-DEGLU-1,0.006570226285627612,4.270655302962522e-133,604,HZ12M02,BF,HZ12M02_coorect_BF
ExN-DEGLU-2,0.005497127753470335,0.0,1469,HZ12M02,BF,HZ12M02_coorect_BF
ExN-L6b,0.001971445980590858,4.735031956492137e-06,227,HZ12M02,BF,HZ12M02_coorect_BF
ExN-CA2,-0.004511531372688459,0.0014883583118514498,91,HZ12M02,BF,HZ12M02_coorect_BF
ExN-DG,-0.005457699200530401,0.0001146300736096056,64,HZ12M02,BF,HZ12M02_coorect_BF
ExN-Olf,-0.009341763722104653,0.13681524385702343,85,HZ12M02,BF,HZ12M02_coorect_BF
ExN-CA3,-0.015104676275263627,0.10088780078257999,46,HZ12M02,BF,HZ12M02_coorect_BF
ExN-CA1,-0.02009064627415793,0.8313915759533058,49,HZ12M02,BF,HZ12M02_coorect_BF
ExN-L5/6-NP,-0.02533357334838262,0.9383279486841164,41,HZ12M02,BF,HZ12M02_coorect_BF
ExN-L6-CT,-0.07176887000130006,0.27962825013956405,11,HZ12M02,BF,HZ12M02_coorect_BF
ExN-Olf,0.005551946543696157,1.214279682335143e-54,406,HZ12M02,ECT,HZ12M02_coorect_ECT
ExN-L2/3-IT,-0.0013622241203197155,0.002787814497803616,277,HZ12M02,ECT,HZ12M02_coorect_ECT
ExN-CA3,-0.0027956228646543718,0.46856500889391606,316,HZ12M02,ECT,HZ12M02_coorect_ECT
ExN-CA2,-0.0031359047194571762,0.7154837253712709,344,HZ12M02,ECT,HZ12M02_coorect_ECT
ExN-L5-IT,-0.003707284922597516,0.02640379836072966,138,HZ12M02,ECT,HZ12M02_coorect_ECT
ExN-L5-ET,-0.004768369852143049,0.06859520687675864,146,HZ12M02,ECT,HZ12M02_coorect_ECT
ExN-L6-CT,-0.00565709988927589,0.8824857128661205,182,HZ12M02,ECT,HZ12M02_coorect_ECT
ExN-L6b,-0.005983172036659398,0.388753868766728,142,HZ12M02,ECT,HZ12M02_coorect_ECT
ExN-DEGLU-1,-0.0062662340450397565,0.04523230930312723,98,HZ12M02,ECT,HZ12M02_coorect_ECT
ExN-DEGLU-2,-0.006695923914677645,0.015409715595840711,84,HZ12M02,ECT,HZ12M02_coorect_ECT
ExN-DG,-0.007614845925359399,0.21989729892170973,98,HZ12M02,ECT,HZ12M02_coorect_ECT
ExN-L6-IT,-0.008694686425540544,0.35926004702327385,93,HZ12M02,ECT,HZ12M02_coorect_ECT
ExN-L4/5-IT,-0.012759881121000875,0.10241211490075951,57,HZ12M02,ECT,HZ12M02_coorect_ECT
ExN-CA1,-0.014119758202543936,0.5278353502910916,63,HZ12M02,ECT,HZ12M02_coorect_ECT
ExN-L5/6-NP,-0.01653310890868259,0.4831099723652531,53,HZ12M02,ECT,HZ12M02_coorect_ECT
ExN-CA2,0.000853817577067948,1.3085712002840246e-78,3363,HZ12M02,HPF,HZ12M02_coorect_HPF
ExN-CA1,0.0006916730258841035,7.549710099933534e-58,2676,HZ12M02,HPF,HZ12M02_coorect_HPF
ExN-DG,0.0005565295418196272,1.799729749455367e-58,3867,HZ12M02,HPF,HZ12M02_coorect_HPF
ExN-CA3,-9.042908831012517e-05,1.488271944698563e-05,2078,HZ12M02,HPF,HZ12M02_coorect_HPF
ExN-Olf,-0.001082580851586867,0.0029162140609300244,392,HZ12M02,HPF,HZ12M02_coorect_HPF
ExN-L6b,-0.004037019378079751,0.8754525754993994,258,HZ12M02,HPF,HZ12M02_coorect_HPF
ExN-DEGLU-2,-0.00859012392821236,0.8934174960684037,114,HZ12M02,HPF,HZ12M02_coorect_HPF
ExN-DEGLU-1,-0.00861508428168721,0.21986140858859138,85,HZ12M02,HPF,HZ12M02_coorect_HPF
ExN-L2/3-IT,-0.018021988749871733,0.2733050842776561,45,HZ12M02,HPF,HZ12M02_coorect_HPF
ExN-L6-IT,-0.028450302332975404,0.2154962170637318,25,HZ12M02,HPF,HZ12M02_coorect_HPF
ExN-L5-ET,-0.030104728725522816,0.6599395391594839,31,HZ12M02,HPF,HZ12M02_coorect_HPF
ExN-L5-IT,-0.034446951646029136,0.9952744869154604,30,HZ12M02,HPF,HZ12M02_coorect_HPF
ExN-L5/6-NP,-0.05540178590304558,0.281220450307055,15,HZ12M02,HPF,HZ12M02_coorect_HPF
ExN-L6-CT,-0.07092135312697634,0.9794658983496357,15,HZ12M02,HPF,HZ12M02_coorect_HPF
ExN-L5-ET,-0.0005480957810731487,1.1627154856653207e-06,476,HZ12M02,RS,HZ12M02_coorect_RS
ExN-L5/6-NP,-0.0006663015689513225,4.130190871292456e-07,415,HZ12M02,RS,HZ12M02_coorect_RS
ExN-L2/3-IT,-0.001079117593552128,0.0001450811981729918,398,HZ12M02,RS,HZ12M02_coorect_RS
ExN-L5-IT,-0.0012869675109384653,0.01471681806068814,493,HZ12M02,RS,HZ12M02_coorect_RS
ExN-L6-IT,-0.0016199477457343667,3.2495543983855675e-05,234,HZ12M02,RS,HZ12M02_coorect_RS
ExN-CA3,-0.0018390686579620426,0.05983020275289493,375,HZ12M02,RS,HZ12M02_coorect_RS
ExN-L6-CT,-0.003563244253991668,0.0980247188970364,213,HZ12M02,RS,HZ12M02_coorect_RS
ExN-CA2,-0.0037579446800530807,0.6149344279299298,243,HZ12M02,RS,HZ12M02_coorect_RS
ExN-CA1,-0.005238694470117456,0.038675529698144806,113,HZ12M02,RS,HZ12M02_coorect_RS
ExN-Olf,-0.005962607411827533,0.8397542831720752,174,HZ12M02,RS,HZ12M02_coorect_RS
ExN-DEGLU-1,-0.007293981935524306,0.1771087017904086,171,HZ12M02,RS,HZ12M02_coorect_RS
ExN-DG,-0.00960287403667381,0.8533589757442674,109,HZ12M02,RS,HZ12M02_coorect_RS
ExN-L6b,-0.012675695933560084,0.16589817158421638,58,HZ12M02,RS,HZ12M02_coorect_RS
ExN-DEGLU-2,-0.014691179814739726,0.5076728962774051,79,HZ12M02,RS,HZ12M02_coorect_RS
ExN-L4/5-IT,-0.021422362730515638,0.2584724426202972,56,HZ12M02,RS,HZ12M02_coorect_RS
ExN-DEGLU-2,0.012512537851630243,0.0,1442,HZ12M02,TH,HZ12M02_coorect_TH
ExN-Olf,0.009746109802851424,5.693658871451476e-36,142,HZ12M02,TH,HZ12M02_coorect_TH
ExN-CA2,0.006665652216617503,1.919634414430779e-284,909,HZ12M02,TH,HZ12M02_coorect_TH
ExN-CA3,0.004202367904403123,5.897555977642061e-35,290,HZ12M02,TH,HZ12M02_coorect_TH
ExN-DEGLU-1,0.0025028025096452376,0.0,5854,HZ12M02,TH,HZ12M02_coorect_TH
ExN-L6b,0.0015631539367562525,2.5841866499866666e-20,699,HZ12M02,TH,HZ12M02_coorect_TH
ExN-DG,-0.005694109788777445,0.021637674088799595,110,HZ12M02,TH,HZ12M02_coorect_TH
