fine,Moran's I,P-value,num_cell,sample,region_abb,fullid
InN-Sncg,0.007848767597515982,0.0,1175,HZ12M01,BF,HZ12M01_coorect_BF
InN-Calb2,0.005691336573911396,0.0,2563,HZ12M01,BF,HZ12M01_coorect_BF
InN-Erbb4,0.003274785885069175,5.91572632669405e-220,1097,HZ12M01,BF,HZ12M01_coorect_BF
InN-Pvalb,0.0003682605483866534,2.7102125318798576e-14,243,HZ12M01,BF,HZ12M01_coorect_BF
InN-Sst,-0.0005573849149596279,4.4184736074029426e-08,301,HZ12M01,BF,HZ12M01_coorect_BF
InN-Olf,-0.010215838107716566,0.11695626898514118,69,HZ12M01,BF,HZ12M01_coorect_BF
InN-Vip,-0.02843871238280802,0.10747958884824883,29,HZ12M01,BF,HZ12M01_coorect_BF
InN-Lamp5,-0.02901227696246978,0.7562719757591415,34,HZ12M01,BF,HZ12M01_coorect_BF
InN-Sst,-0.0008439719473746157,7.883101442141437e-07,179,HZ12M01,PFC,HZ12M01_coorect_PFC
InN-Pvalb,-0.0032214150369389537,0.03365265532730269,186,HZ12M01,PFC,HZ12M01_coorect_PFC
InN-Erbb4,-0.0051774488550064175,0.94858519657049,196,HZ12M01,PFC,HZ12M01_coorect_PFC
InN-Sncg,-0.006194994863371284,0.6715376311929379,173,HZ12M01,PFC,HZ12M01_coorect_PFC
InN-Vip,-0.01345233334524168,0.9182569093976427,74,HZ12M01,PFC,HZ12M01_coorect_PFC
InN-Lamp5,-0.04247106368595774,0.8858033546963181,24,HZ12M01,PFC,HZ12M01_coorect_PFC
InN-Olf,0.0008286681813827354,7.207080979007037e-47,1838,HZ12M01,STR,HZ12M01_coorect_STR
InN-Sncg,-0.0011999508792236786,0.0007691491312911031,404,HZ12M01,STR,HZ12M01_coorect_STR
InN-Sst,-0.003355823901531046,0.6770765549891511,273,HZ12M01,STR,HZ12M01_coorect_STR
InN-Erbb4,-0.003925649107586719,0.47444316975203316,229,HZ12M01,STR,HZ12M01_coorect_STR
InN-Pvalb,-0.008299709544554766,0.8423941934169217,117,HZ12M01,STR,HZ12M01_coorect_STR
InN-Calb2,-0.011240080723474901,0.5712215088390895,100,HZ12M01,STR,HZ12M01_coorect_STR
InN-Lamp5,-0.028336885357004116,0.63181257152365,39,HZ12M01,STR,HZ12M01_coorect_STR
InN-Vip,-0.045076332921647214,0.06520453796264021,15,HZ12M01,STR,HZ12M01_coorect_STR
InN-Calb2,0.009501781271368382,0.0,4254,HZ12M02,BF,HZ12M02_coorect_BF
InN-Sncg,0.008120115675238347,0.0,1081,HZ12M02,BF,HZ12M02_coorect_BF
InN-Erbb4,0.005568614607396843,0.0,1413,HZ12M02,BF,HZ12M02_coorect_BF
InN-Olf,0.004522631130274815,5.990746397098935e-69,500,HZ12M02,BF,HZ12M02_coorect_BF
InN-Pvalb,-0.0010501494086141503,0.00017610755984003257,411,HZ12M02,BF,HZ12M02_coorect_BF
InN-Sst,-0.0040665181472544125,0.067555779095843,167,HZ12M02,BF,HZ12M02_coorect_BF
